t_s,pn_m,pe_m,pd_m,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,roll_rad,pitch_rad,yaw_rad,alt_m,airspeed_mps,alpha_rad,beta_rad,aileron_rad,elevator_rad,rudder_rad,throttle_01,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm
0.000000,0.141940,0.072234,-59.979441,16.090169,0.625140,0.275653,-0.350506,-0.520411,0.031200,0.207720,-0.107452,0.436065,59.979441,16.104668,-0.017130,0.038827,-0.350000,0.350000,-0.026657,0.592251,15.806548,2.103465,5.208303,-1.902593,-3.741052,0.018380
0.010000,0.284539,0.144830,-59.957540,16.179512,0.649041,0.377589,-0.623997,0.175487,0.032883,0.202781,-0.109135,0.436038,59.957540,16.196927,-0.023333,0.040083,-0.350000,-0.350000,-0.026509,0.582123,15.626864,2.196436,7.175873,-1.405688,5.252591,0.023610
0.020000,0.427793,0.217770,-59.934200,16.269659,0.670733,0.506025,-0.826315,-0.337964,0.035049,0.195461,-0.110082,0.436197,59.934200,16.291339,-0.031092,0.041183,-0.350000,0.350000,-0.026062,0.586765,15.781072,2.283114,9.673924,-1.041527,-3.718293,0.029063
0.030000,0.571700,0.291035,-59.909304,16.362885,0.690102,0.568993,-0.976387,-0.763199,0.036399,0.186489,-0.115619,0.435489,59.909304,16.387312,-0.034759,0.042124,-0.350000,0.350000,-0.026937,0.585908,15.807232,2.362921,10.942675,-0.775017,-3.113413,0.028178
0.040000,0.716252,0.364617,-59.882785,16.459055,0.707674,0.571850,-1.088231,-1.124016,0.037216,0.176302,-0.125012,0.434134,59.882785,16.484183,-0.034730,0.042944,-0.350000,0.350000,-0.027042,0.582161,15.759311,2.437446,11.063047,-0.580267,-2.681651,0.031404
0.050000,0.861429,0.438514,-59.854623,16.552461,0.723714,0.620064,-1.172259,-0.258966,0.038707,0.165081,-0.131785,0.433334,59.854623,16.579873,-0.037443,0.043664,-0.350000,-0.350000,-0.026978,0.561011,15.337560,2.507193,12.066225,-0.437614,6.457222,0.034131
0.060000,1.007211,0.512716,-59.824758,16.641248,0.736615,0.815250,-1.236042,0.504529,0.041974,0.152946,-0.130569,0.433934,59.824758,16.677481,-0.048951,0.044183,-0.350000,-0.350000,-0.026578,0.558897,15.373585,2.566939,15.960943,-0.332735,5.820698,0.035183
0.070000,1.153591,0.587200,-59.793007,16.730052,0.744666,1.053364,-1.284798,0.000067,0.044713,0.140229,-0.128242,0.434729,59.793007,16.779712,-0.062879,0.044394,-0.350000,0.350000,-0.027957,0.566966,15.663736,2.610917,20.754787,-0.255502,-3.553130,0.025809
0.080000,1.300558,0.661941,-59.759142,16.823424,0.748096,1.238725,-1.322332,-0.393871,0.046461,0.127161,-0.130335,0.434914,59.759142,16.885546,-0.073498,0.044318,-0.350000,0.350000,-0.027657,0.561519,15.654708,2.639489,24.566881,-0.198606,-2.776014,0.025286
0.090000,1.448095,0.736920,-59.722973,16.922980,0.747578,1.382383,-1.351597,-0.702156,0.046677,0.113813,-0.135895,0.434713,59.722973,16.995797,-0.081506,0.044000,-0.350000,0.350000,-0.028966,0.564790,15.831046,2.654881,27.600375,-0.156817,-2.175232,0.016729
