t_s,pn_m,pe_m,pd_m,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,roll_rad,pitch_rad,yaw_rad,alt_m,airspeed_mps,alpha_rad,beta_rad,aileron_rad,elevator_rad,rudder_rad,throttle_01,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,wind_n_mps,wind_e_mps,wind_d_mps,u_air_mps,v_air_mps,w_air_mps,aileron_cmd_rad,elevator_cmd_rad,rudder_cmd_rad,throttle_cmd_01,baro_valid,gps_valid
0.000000,0.141940,0.072234,-59.979441,16.090170,0.625135,0.275653,-0.350505,-0.520411,0.031267,0.207720,-0.107452,0.436065,59.979441,16.104668,-0.017130,0.038827,-0.350000,0.350000,-0.026486,0.592251,15.806548,2.103447,5.208303,-1.902591,-3.741052,0.019137,0.000000,0.000000,0.000000,16.090170,0.625135,0.275653,-0.350000,0.350000,-0.026486,0.592251,1,1
0.010000,0.284541,0.144833,-59.957547,16.181854,0.649211,0.281299,-0.623895,-0.953721,0.032655,0.202912,-0.114786,0.434857,59.957547,16.197315,-0.017382,0.040092,-0.350000,0.350000,-0.025968,0.586900,15.721261,2.197066,5.345840,-1.406047,-3.220790,0.026694,0.000000,0.000000,0.000000,16.181854,0.649211,0.281299,-0.350000,0.350000,-0.025968,0.586900,1,1
0.020000,0.427798,0.217796,-59.934306,16.275276,0.672507,0.219788,-0.826092,-1.332937,0.033305,0.195847,-0.126095,0.432895,59.934306,16.290647,-0.013504,0.041294,-0.350000,0.350000,-0.026930,0.585606,15.719850,2.289062,4.201074,-1.042558,-2.870121,0.027590,0.000000,0.000000,0.000000,16.275276,0.672507,0.219788,-0.350000,0.350000,-0.026930,0.585606,1,1
0.030000,0.571710,0.291141,-59.909763,16.370015,0.695763,0.090733,-0.976226,-1.677782,0.033888,0.187139,-0.140958,0.430334,59.909763,16.385045,-0.005543,0.042476,-0.350000,0.350000,-0.026169,0.589489,15.831304,2.381987,1.744392,-0.777269,-2.666976,0.037384,0.000000,0.000000,0.000000,16.370015,0.695763,0.090733,-0.350000,0.350000,-0.026169,0.589489,1,1
0.040000,0.716270,0.364896,-59.884028,16.462206,0.719938,-0.109382,-1.088378,-2.005623,0.034303,0.177242,-0.159140,0.427299,59.884028,16.478304,0.006644,0.043704,-0.350000,0.350000,-0.025660,0.573091,15.503846,2.478830,-2.115012,-0.584076,-2.595606,0.046546,0.000000,0.000000,0.000000,16.462206,0.719938,-0.109382,-0.350000,0.350000,-0.025660,0.573091,1,1
0.050000,0.861480,0.439102,-59.857277,16.550931,0.746183,-0.387245,-1.172943,-2.332405,0.034682,0.166493,-0.180564,0.423883,59.857277,16.572268,0.023393,0.045041,-0.350000,0.350000,-0.024969,0.569330,15.477787,2.583902,-7.531580,-0.444459,-2.648782,0.057514,0.000000,0.000000,0.000000,16.550931,0.746183,-0.387245,-0.350000,0.350000,-0.024969,0.569330,1,1
0.060000,1.007368,0.513824,-59.829757,16.634196,0.775830,-0.752965,-1.237655,-2.673569,0.034976,0.155140,-0.205309,0.420155,59.829757,16.669293,0.045235,0.046559,-0.350000,0.350000,-0.024547,0.576294,15.736704,2.702362,-14.735015,-0.344862,-2.825667,0.068402,0.000000,0.000000,0.000000,16.634196,0.775830,-0.752965,-0.350000,0.350000,-0.024547,0.576294,1,1
0.070000,1.153991,0.589144,-59.801797,16.705977,0.810378,-1.220430,-1.288279,-3.044793,0.035874,0.143369,-0.233604,0.416165,59.801797,16.770087,0.072924,0.048342,-0.350000,0.350000,-0.022672,0.568331,15.755518,2.839857,-24.042607,-0.275128,-3.130921,0.087997,0.000000,0.000000,0.000000,16.705977,0.810378,-1.220430,-0.350000,0.350000,-0.022672,0.568331,1,1
0.080000,1.301440,0.665172,-59.773821,16.760778,0.851602,-1.807854,-1.329173,-3.462882,0.036863,0.131315,-0.265840,0.411950,59.773821,16.879492,0.107447,0.050473,-0.350000,0.350000,-0.022053,0.566393,16.058002,3.003902,-35.888379,-0.228513,-3.578080,0.103111,0.000000,0.000000,0.000000,16.760778,0.851602,-1.807854,-0.350000,0.350000,-0.022053,0.566393,1,1
0.090000,1.449872,0.742048,-59.746362,16.788965,0.901688,-2.538607,-1.363753,-3.946873,0.038090,0.119085,-0.302583,0.407531,59.746362,17.003733,0.150070,0.053054,-0.350000,0.350000,-0.021268,0.556804,16.441345,3.204134,-50.865761,-0.200420,-4.189830,0.121941,0.000000,0.000000,0.000000,16.788965,0.901688,-2.538607,-0.350000,0.350000,-0.021268,0.556804,1,1
